0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:49 +0530] "POST /newmoodle/login HTTP/1.1" 500 1410
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:54 +0530] "POST /newmoodle/login HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [05/May/2015:19:10:33 +0530] "POST /newmoodle/login HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [05/May/2015:19:10:33 +0530] "GET /newmoodle/student.jsp HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [05/May/2015:19:11:26 +0530] "GET /newmoodle/list_file?name=+mca-401+ HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [05/May/2015:19:12:29 +0530] "POST /newmoodle/login HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [05/May/2015:19:12:29 +0530] "GET /newmoodle/student.jsp HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [05/May/2015:19:12:59 +0530] "GET /newmoodle/home.jsp HTTP/1.1" 200 14597
192.168.173.96 - - [05/May/2015:19:15:27 +0530] "GET /newmoodle/First.jsp HTTP/1.1" 200 5493
192.168.173.96 - - [05/May/2015:19:15:27 +0530] "GET /newmoodle/style.css HTTP/1.1" 200 3500
192.168.173.96 - - [05/May/2015:19:15:27 +0530] "GET /newmoodle/validate.js HTTP/1.1" 404 993
192.168.173.96 - - [05/May/2015:19:15:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 200 21584
192.168.173.96 - - [05/May/2015:19:15:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 200 35452
192.168.173.96 - - [05/May/2015:19:15:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 200 117150
192.168.173.96 - - [05/May/2015:19:15:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 200 95931
192.168.173.96 - - [05/May/2015:19:15:27 +0530] "GET /newmoodle/img/website_home_page2.jpg HTTP/1.1" 200 289402
192.168.173.96 - - [05/May/2015:19:15:27 +0530] "GET /newmoodle/img/website_home_page5.jpg HTTP/1.1" 200 280014
192.168.173.96 - - [05/May/2015:19:15:27 +0530] "GET /newmoodle/img/website_home_page4.jpg HTTP/1.1" 200 322183
192.168.173.96 - - [05/May/2015:19:15:27 +0530] "GET /newmoodle/img/website_home_page3.jpg HTTP/1.1" 200 325736
192.168.173.96 - - [05/May/2015:19:15:28 +0530] "GET /newmoodle/img/ggg.png HTTP/1.1" 200 3738
192.168.173.96 - - [05/May/2015:19:15:28 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/First.jsp HTTP/1.1" 200 5493
192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
